customer_id,age,city,customer_segment,product_category,order_count,average_order_value,total_spend,discount_percentage,days_since_last_order,website_visits,support_tickets,return_count,payment_type,customer_tenure_days
1,58.0,Chennai,Premium,Sports,18,12622.15,227198.7,6.98,53,174,17,2,Cash,894
2,20.0,Chennai,Premium,Clothing,15,25515.09,382726.35,1.33,102,184,20,13,Debit Card,949
3,55.0,Delhi,Premium,Books,11,35057.9,385636.9,17.01,80,56,10,1,Credit Card,808
4,24.0,Bangalore,Regular,Furniture,17,40452.85,687698.45,36.49,275,32,12,2,Net Banking,630
5,58.0,Bangalore,Inactive,Clothing,46,3942.98,181377.08,33.06,149,21,7,6,Upi,599
6,47.0,Bangalore,Premium,Groceries,23,10870.6,250023.8,13.35,350,166,2,19,Cash,380
7,52.0,Delhi,Premium,Groceries,25,13862.42,346560.5,46.27,353,143,7,21,Upi,1756
8,67.0,Chennai,Regular,Books,3,40349.77,121049.31,20.06,34,55,18,2,Debit Card,1372
9,44.0,Bangalore,Inactive,Groceries,10,13611.57,136115.7,12.33,288,138,8,9,Upi,1225
10,43.0,Bangalore,Regular,Electronics,33,24929.03,822657.99,37.79,57,40,20,10,Cash,894
11,56.0,Chennai,New,Groceries,39,49808.01,1942512.39,26.46,284,3,3,34,Debit Card,1604
12,59.0,Bangalore,Premium,Clothing,28,8328.81,233206.68,0.16,135,129,5,16,Credit Card,1812
13,58.0,Delhi,Inactive,Furniture,39,10346.1,403497.9,18.7,83,139,16,0,Cash,693
14,49.0,Chennai,Premium,Groceries,20,12352.89,247057.8,12.04,291,21,2,15,Credit Card,1587
15,52.0,Mumbai,Premium,Sports,31,47369.01,1468439.31,8.26,271,156,13,13,Net Banking,1576
16,64.0,Unknown,Regular,Groceries,43,32668.96,1404765.28,21.91,265,116,3,15,Debit Card,161
17,39.0,Chennai,Inactive,Furniture,15,29627.79,444416.85,0.36,363,162,1,7,Credit Card,94
18,39.0,Chennai,New,Clothing,18,33614.4,605059.2,10.71,68,186,18,18,Net Banking,527
19,68.0,Kolkata,New,Clothing,7,5298.08,37086.56,21.55,217,106,14,0,Cash,1368
