customer_id,age,customer_segment,product_category,payment_type,average_order_value,discount_percentage,customer_tenure_days,return_rate,purchase_frequency,engagement_score,support_ticket_rate,churn
1,58.0,Premium,Sports,Cash,12622.15,6.98,894,0.1111111111111111,0.020134228187919462,3.2830188679245285,0.9444444444444444,0
2,20.0,Premium,Clothing,Debit Card,25515.09,1.33,949,0.8666666666666667,0.015806111696522657,1.803921568627451,1.3333333333333333,0
3,55.0,Premium,Books,Credit Card,35057.9,17.01,808,0.09090909090909091,0.013613861386138614,0.7,0.9090909090909091,0
4,24.0,Regular,Furniture,Net Banking,40452.85,36.49,630,0.11764705882352941,0.026984126984126985,0.11636363636363636,0.7058823529411765,1
5,58.0,Inactive,Clothing,Upi,3942.98,33.06,599,0.13043478260869565,0.07679465776293823,0.14093959731543623,0.15217391304347827,0
6,47.0,Premium,Groceries,Cash,10870.6,13.35,380,0.8260869565217391,0.060526315789473685,0.4742857142857143,0.08695652173913043,0
7,52.0,Premium,Groceries,Upi,13862.42,46.27,1756,0.84,0.014236902050113895,0.40509915014164305,0.28,0
8,67.0,Regular,Books,Debit Card,40349.77,20.06,1372,0.6666666666666666,0.002186588921282799,1.6176470588235294,6.0,0
9,44.0,Inactive,Groceries,Upi,13611.57,12.33,1225,0.9,0.00816326530612245,0.4791666666666667,0.8,0
10,43.0,Regular,Electronics,Cash,24929.03,37.79,894,0.30303030303030304,0.03691275167785235,0.7017543859649122,0.6060606060606061,0
11,56.0,New,Groceries,Debit Card,49808.01,26.46,1604,0.8717948717948718,0.024314214463840397,0.01056338028169014,0.07692307692307693,0
12,59.0,Premium,Clothing,Credit Card,8328.81,0.16,1812,0.5714285714285714,0.01545253863134658,0.9555555555555556,0.17857142857142858,0
13,58.0,Inactive,Furniture,Cash,10346.1,18.7,693,0.0,0.05627705627705628,1.6746987951807228,0.41025641025641024,0
14,49.0,Premium,Groceries,Credit Card,12352.89,12.04,1587,0.75,0.01260239445494644,0.07216494845360824,0.1,1
15,52.0,Premium,Sports,Net Banking,47369.01,8.26,1576,0.41935483870967744,0.01967005076142132,0.5756457564575646,0.41935483870967744,0
16,64.0,Regular,Groceries,Debit Card,32668.96,21.91,161,0.3488372093023256,0.2670807453416149,0.4377358490566038,0.06976744186046512,0
17,39.0,Inactive,Furniture,Credit Card,29627.79,0.36,94,0.4666666666666667,0.1595744680851064,0.4462809917355372,0.06666666666666667,0
18,39.0,New,Clothing,Net Banking,33614.4,10.71,527,1.0,0.03415559772296015,2.735294117647059,1.0,0
19,68.0,New,Clothing,Cash,5298.08,21.55,1368,0.0,0.005116959064327485,0.48847926267281105,2.0,0
20,59.0,Premium,Groceries,Net Banking,17295.48,100.0,317,0.723404255319149,0.14826498422712933,0.390625,0.1276595744680851,0
21,45.0,Regular,Groceries,Credit Card,43787.05,3.77,1573,0.0,0.010171646535282899,0.09219858156028368,0.0625,1
22,33.0,New,Groceries,Upi,11080.49,20.05,573,0.0,0.05410122164048865,1.3870967741935485,0.3870967741935484,0
23,68.0,Regular,Groceries,Debit Card,47887.22,49.77,637,0.2,0.0706436420722135,0.5964912280701754,0.3333333333333333,0
24,31.0,Inactive,Sports,Net Banking,25545.48,15.68,352,0.9142857142857143,0.09943181818181818,5.769230769230769,0.42857142857142855,0
25,21.0,Premium,Books,Debit Card,3891.81,3.4,1215,0.75,0.009876543209876543,0.859504132231405,0.25,0
26,56.0,Inactive,Electronics,Upi,33039.97,28.26,518,0.7777777777777778,0.052123552123552123,0.41358024691358025,0.2222222222222222,0
27,34.0,Premium,Sports,Cash,15349.86,15.81,234,0.9285714285714286,0.1794871794871795,0.07894736842105263,0.3333333333333333,0
28,22.0,Regular,Furniture,Credit Card,7056.6,17.45,927,0.5294117647058824,0.018338727076591153,1.75,0.6470588235294118,0
29,52.0,Inactive,Books,Debit Card,26682.56,33.39,266,0.19047619047619047,0.15789473684210525,0.2711267605633803,0.07142857142857142,0
30,24.0,Premium,Clothing,Net Banking,30439.08,35.88,1030,0.42105263157894735,0.018446601941747572,1.6761904761904762,1.0526315789473684,0
31,34.0,Premium,Sports,Debit Card,41552.73,2.2,360,0.7142857142857143,0.07777777777777778,1.1578947368421053,0.14285714285714285,0
32,65.0,New,Sports,Upi,28264.89,5.59,1222,0.03571428571428571,0.022913256955810146,0.11016949152542373,0.6071428571428571,0
33,53.0,New,Electronics,Cash,15758.79,44.95,240,0.3333333333333333,0.0125,4.380952380952381,2.0,0
34,44.0,New,Furniture,Credit Card,8150.39,46.49,1538,0.020833333333333332,0.031209362808842653,0.5476190476190477,0.2708333333333333,0
35,39.0,Inactive,Books,Net Banking,40632.09,13.34,485,0.041666666666666664,0.09896907216494845,0.07777777777777778,0.25,0
36,30.0,Regular,Clothing,Debit Card,11534.72,33.0,749,0.13333333333333333,0.020026702269692925,0.4146341463414634,0.5333333333333333,1
37,59.0,New,Sports,Credit Card,16891.92,1.38,252,0.45714285714285713,0.1388888888888889,0.34328358208955223,0.5142857142857142,0
38,56.0,Regular,Sports,Debit Card,22101.5,49.21,120,0.2857142857142857,0.175,1.65,0.8571428571428571,0
39,63.0,Premium,Furniture,Credit Card,34499.43,47.01,1390,0.7714285714285715,0.025179856115107913,0.14825581395348839,0.3142857142857143,0
40,39.0,Inactive,Books,Upi,36127.84,15.02,1457,0.625,0.00549073438572409,1.0754716981132075,1.625,0
41,36.0,Premium,Clothing,Upi,33414.01,100.0,1152,0.3333333333333333,0.0234375,1.7555555555555555,0.6666666666666666,0
42,18.0,Regular,Clothing,Cash,39395.06,30.33,467,0.5,0.059957173447537475,0.7272727272727273,0.5,0
43,50.0,Premium,Sports,Debit Card,14547.43,33.19,1407,1.0,0.0042643923240938165,0.27044025157232704,0.3333333333333333,1
44,37.0,Regular,Electronics,Upi,2787.58,49.2,1319,0.5,0.001516300227445034,0.6293929712460063,1.0,0
45,54.0,New,Groceries,Upi,12577.23,32.8,478,0.9230769230769231,0.05439330543933055,64.33333333333333,0.11538461538461539,0
46,29.0,New,Electronics,Net Banking,12835.31,42.42,1249,0.9166666666666666,0.028823058446757407,0.14957264957264957,0.3888888888888889,0
47,38.0,Inactive,Books,Net Banking,44655.0,21.34,951,1.0,0.04942166140904311,0.4092526690391459,0.10638297872340426,0
48,34.0,Inactive,Clothing,Debit Card,38994.9,24.23,510,0.08,0.09803921568627451,0.5772357723577236,0.28,0
49,35.0,Regular,Furniture,Upi,7349.52,11.56,864,0.0,0.006944444444444444,0.11235955056179775,1.0,1
50,39.0,New,Groceries,Upi,10738.3,21.01,1006,1.0,0.003976143141153081,0.5966666666666667,0.0,0
51,18.0,Regular,Books,Cash,42745.67,47.67,481,1.0,0.05197505197505198,0.641860465116279,0.68,0
52,49.0,Regular,Groceries,Credit Card,1936.73,16.81,1304,0.90625,0.024539877300613498,0.2988505747126437,0.15625,0
53,52.0,New,Furniture,Credit Card,33318.49,4.2,562,0.2972972972972973,0.06583629893238434,0.1590909090909091,0.3783783783783784,0
54,42.0,Regular,Groceries,Credit Card,17206.28,43.98,993,0.38095238095238093,0.021148036253776436,1.3496503496503496,0.6190476190476191,0
55,19.0,Premium,Groceries,Debit Card,32682.13,39.06,1748,0.4666666666666667,0.008581235697940504,0.03293413173652695,0.0,1
56,19.0,Regular,Electronics,Credit Card,33638.21,28.2,1270,0.7419354838709677,0.024409448818897637,1.0714285714285714,0.25806451612903225,0
