customer_id,age,city,customer_segment,product_category,order_count,average_order_value,total_spend,discount_percentage,days_since_last_order,website_visits,support_tickets,return_count,payment_type,customer_tenure_days
1,58.0, Chennai ,Premium,sports,18.0,12622.15,227198.7,6.98,53,174,17,2,Cash,894
2,20.0,Chennai,premium,Clothing,15.0,25515.09,382726.35,1.33,102,184,20,13,Debit Card,949
3,55.0,delhi,Premium,Books,11.0,35057.9,385636.9,17.01,80,56,10,1,credit card,808
4,24.0,bangalore,REGULAR,furniture,17.0,40452.85,687698.45,36.49,275,32,12,2,net banking,630
5,58.0,bangalore,Inactive,Clothing,46.0,3942.98,181377.08,33.06,149,21,7,6,upi,599
6,47.0,bangalore,PREMIUM,Groceries,23.0,10870.6,250023.8,13.35,350,166,2,19,cash,380
7,52.0,Delhi,PREMIUM,GROCERIES,25.0,13862.42,346560.5,46.27,353,143,7,21,UPI,1756
8,67.0,chennai,Regular,books,3.0,40349.77,121049.31,20.06,34,55,18,2,Debit Card,1372
9,,BANGALORE,inactive,GROCERIES,10.0,13611.57,136115.7,12.33,288,138,8,9,upi,1225
10,43.0,bangalore,Regular,ELECTRONICS,33.0,24929.03,822657.99,37.79,57,40,20,10,cash,894
11,56.0,CHENNAI,New,groceries,39.0,49808.01,1942512.39,26.46,284,3,3,34,debit card,1604
12,59.0,Bangalore,premium,clothing,28.0,8328.81,233206.68,0.16,135,129,5,16,credit card,1812
13,58.0,DELHI,inactive,Furniture,39.0,10346.1,403497.9,18.7,83,139,16,0,Cash,693
14,49.0,Chennai,premium,Groceries,20.0,12352.89,247057.8,12.04,291,21,2,15,credit card,1587
15,52.0,Mumbai,PREMIUM,Sports,31.0,47369.01,1468439.31,8.26,271,156,13,13,net banking,1576
16,64.0,,regular,groceries,43.0,32668.96,1404765.28,21.91,265,116,3,15,Debit Card,161
17,39.0,Chennai,Inactive,Furniture,15.0,29627.79,444416.85,0.36,363,162,1,7,credit card,94
18,39.0,CHENNAI,NEW,Clothing,18.0,33614.4,605059.2,10.71,68,186,18,18,Net Banking,527
19,68.0,Kolkata,New,Clothing,7.0,5298.08,37086.56,21.55,217,106,14,0,cash,1368
20,59.0, Chennai ,Premium,groceries,47.0,17295.48,812887.56,150.0,128,50,6,34,Net Banking,317
21,45.0,mumbai,regular,GROCERIES,16.0,43787.05,700592.8,3.77,282,26,1,0,credit card,1573
22,33.0,mumbai,New,GROCERIES,31.0,11080.49,343495.19,20.05,31,43,12,0,upi,573
23,68.0,hyderabad,regular,groceries,45.0,47887.22,2154924.9,49.77,285,170,15,9,Debit Card,637
24,31.0,chennai,Inactive,sports,35.0,,123109.0,15.68,26,150,15,32,net banking,352
25,21.0,kolkata,premium,books,12.0,3891.81,46701.72,3.4,121,104,3,9,Debit Card,1215
26,56.0,chennai,Inactive,electronics,27.0,33039.97,892079.19,28.26,162,67,6,21,UPI,518
27,34.0,BANGALORE,PREMIUM,Sports,42.0,15349.86,644694.12,15.81,38,3,14,39,Cash,234
28,22.0,Pune,Regular,Furniture,17.0,7056.6,119962.2,17.45,36,63,11,9,CREDIT CARD,927
29,52.0,DELHI,Inactive,Books,42.0,26682.56,1120667.52,33.39,284,77,3,8,debit card,266
30,24.0,Pune,PREMIUM,clothing,19.0,30439.08,578342.52,35.88,105,176,20,8,net banking,1030
31,34.0,chennai,premium,Sports,28.0,41552.73,1163476.44,2.2,171,198,4,20,debit card,360
32,65.0,hyderabad,NEW,sports,28.0,28264.89,791416.92,5.59,354,39,17,1,UPI,1222
33,53.0,Mumbai,New,ELECTRONICS,3.0,15758.79,47276.37,44.95,21,92,6,1,cash,240
34,,Pune,New,furniture,48.0,8150.39,391218.72,46.49,84,46,13,1,CREDIT CARD,1538
35,39.0,Hyderabad,inactive,books,48.0,40632.09,1950340.32,13.34,360,28,12,2,Net Banking,485
36,30.0,hyderabad,REGULAR,clothing,15.0,11534.72,173020.8,33.0,205,85,8,2,debit card,749
37,59.0,kolkata,New,Sports,35.0,16891.92,591217.2,1.38,134,46,18,16,Credit Card,252
38,56.0,Hyderabad,REGULAR,sports,21.0,22101.5,464131.5,49.21,60,99,18,6,debit card,120
39,63.0,Hyderabad,Premium,Furniture,35.0,34499.43,1207480.05,47.01,344,51,11,27,credit card,1390
40,39.0,Bangalore,inactive,books,8.0,36127.84,289022.72,15.02,159,171,13,5,upi,1457
41,36.0,Pune,PREMIUM,Clothing,27.0,33414.01,902178.27,150.0,90,158,18,9,upi,1152
42,18.0,DELHI,regular,Clothing,28.0,39395.06,1103061.68,30.33,165,120,14,14,cash,467
43,50.0,Kolkata,PREMIUM,Sports,6.0,14547.43,87284.58,33.19,318,86,2,6,Debit Card,1407
44,37.0,Delhi,Regular,ELECTRONICS,2.0,2787.58,5575.16,49.2,313,197,2,1,upi,1319
45,54.0,MUMBAI,New,GROCERIES,26.0,12577.23,327007.98,32.8,3,193,3,24,upi,478
46,29.0,kolkata,new,Electronics,36.0,12835.31,462071.16,42.42,234,35,14,33,net banking,1249
47,38.0,hyderabad,Inactive,books,47.0,44655.0,2098785.0,21.34,281,115,5,47,Net Banking,951
48,34.0,Delhi,inactive,clothing,50.0,38994.9,1949745.0,24.23,123,71,14,4,debit card,510
49,35.0,Bangalore,REGULAR,Furniture,6.0,7349.52,44097.12,11.56,356,40,6,0,upi,864
50,39.0,Pune,new,groceries,4.0,10738.3,42953.2,21.01,300,179,0,4,upi,1006
51,18.0,bangalore,regular,Books,25.0,42745.67,1068641.75,47.67,215,138,17,25,Cash,481
52,49.0,Delhi,regular,groceries,32.0,1936.73,61975.36,16.81,348,104,5,29,CREDIT CARD,1304
53,52.0,Chennai,New,furniture,37.0,33318.49,1232784.13,4.2,220,35,14,11,Credit Card,562
54,42.0,Bangalore,Regular,GROCERIES,21.0,17206.28,361331.88,43.98,143,193,13,8,credit card,993
